domain,problem,variant,model,parsable,executability,reachability,conditional_reachability,plan_length,plan_length_metric,first_failure_step,strict_final_value,non_executable_failure,non_executable_failure_parse_share,parse_error_flag,state_execution_error_flag,validator_timeout_flag,legacy_cost,legacy_gap,bug_optimal,optimality_ratio,optimal_cost,optimal_plan_length,matching_actions,insertions,deletions,total_distance,normalized_distance,llm_actions_count,optimal_actions_count,deprecated_kendall_tau_inversions,deprecated_insertions,deprecated_deletions,deprecated_total_distance,deprecated_normalized_distance,reasoning_enabled,duration_sec,prompt_tokens,completion_tokens,total_tokens
folding,p10,canonical,gpt-5-mini,True,False,False,,179,179.0,31.0,,state_execution_error,0.0,False,True,False,,,False,,10.0,178,44,135,134,269,0.7535,179,178,4488,1,0,4489,0.2818,True,154.15,8590,16930,25520
folding,p10,canonical,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,10.0,178,1,1,177,178,0.9889,2,178,0,-77,99,22,0.0014,True,104.27,8688,19133,27821
folding,p10,canonical,mimo-v2-flash,True,False,False,,10,10.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,10.0,178,3,7,175,182,0.9681,10,178,0,0,168,168,0.0105,True,148.9,9705,26829,36534
folding,p10,canonical,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,10.0,178,0,0,178,178,1.0,0,178,0,0,178,178,0.0112,True,267.11,10632,16000,26632
folding,p10,optimal,gpt-5-mini,True,True,True,True,178,178.0,,10.0,,,False,False,False,10.0,0.0,False,1.0,10.0,178,44,134,134,268,0.7528,178,178,4419,0,0,4419,0.2774,True,157.68,8590,19164,27754
folding,p10,optimal,grok-4-1-fast,False,False,False,,4,,,,parse_error,1.0,True,False,False,,,False,,10.0,178,1,3,177,180,0.989,4,178,0,-75,99,24,0.0015,True,100.59,8688,18601,27289
folding,p10,optimal,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,10.0,178,0,0,178,178,1.0,0,178,0,0,178,178,0.0112,True,127.21,9705,23419,33124
folding,p10,optimal,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,10.0,178,0,0,178,178,1.0,0,178,0,0,178,178,0.0112,True,93.89,10632,17025,27657
folding,p10,frequency,gpt-5-mini,True,True,False,False,28,28.0,,,,,False,False,False,,,False,,10.0,178,3,25,175,200,0.9709,28,178,0,-150,0,-150,-0.0094,True,82.73,8590,8394,16984
folding,p10,frequency,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,10.0,178,1,1,177,178,0.9889,2,178,0,-77,99,22,0.0014,True,201.19,8688,21405,30093
folding,p10,frequency,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,10.0,178,0,0,178,178,1.0,0,178,0,0,178,178,0.0112,True,5.71,9707,552,10259
folding,p10,frequency,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,10.0,178,0,0,178,178,1.0,0,178,0,0,178,178,0.0112,True,125.45,10632,16000,26632
folding,p10,dispersion,gpt-5-mini,True,False,False,,178,178.0,30.0,,state_execution_error,0.0,False,True,False,,,False,,10.0,178,39,139,139,278,0.7809,178,178,4419,0,0,4419,0.2774,True,203.42,8590,22919,31509
folding,p10,dispersion,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,10.0,178,1,1,177,178,0.9889,2,178,0,-77,99,22,0.0014,True,222.64,8688,20682,29370
folding,p10,dispersion,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,10.0,178,0,0,178,178,1.0,0,178,0,0,178,178,0.0112,True,115.18,9705,19831,29536
folding,p10,dispersion,qwen3-5-35b-a3b-alibaba,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,10.0,178,0,0,178,178,1.0,0,178,0,0,178,178,0.0112,True,163.07,10632,16000,26632
folding,p10,random_01,gpt-5-mini,True,False,False,,10,10.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,10.0,178,3,7,175,182,0.9681,10,178,0,0,168,168,0.0105,True,73.32,8590,7457,16047
folding,p10,random_01,grok-4-1-fast,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,10.0,178,0,0,178,178,1.0,0,178,0,0,178,178,0.0112,True,172.88,8688,20947,29635
folding,p10,random_01,mimo-v2-flash,True,False,False,,10,10.0,2.0,,state_execution_error,0.0,False,True,False,,,False,,10.0,178,3,7,175,182,0.9681,10,178,0,0,168,168,0.0105,True,93.07,9705,16459,26164
folding,p10,random_01,qwen3-5-35b-a3b-alibaba,True,False,False,,442,442.0,14.0,,state_execution_error,0.0,False,True,False,,,False,,10.0,178,52,390,126,516,0.8323,442,178,30368,264,0,30632,1.9228,True,126.39,10632,27032,37664
folding,p10,random_02,gpt-5-mini,True,True,False,False,28,28.0,,,,,False,False,False,,,False,,10.0,178,3,25,175,200,0.9709,28,178,0,-150,0,-150,-0.0094,True,64.24,8590,7812,16402
folding,p10,random_02,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,10.0,178,1,1,177,178,0.9889,2,178,0,-77,99,22,0.0014,True,147.87,8688,20045,28733
folding,p10,random_02,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,10.0,178,0,0,178,178,1.0,0,178,0,0,178,178,0.0112,True,88.84,9705,16085,25790
folding,p10,random_02,qwen3-5-35b-a3b-alibaba,False,False,False,,335,,,,parse_error,1.0,True,False,False,,,False,,10.0,178,14,321,164,485,0.9454,335,178,17195,157,0,17352,1.0892,True,126.68,10632,21478,32110
folding,p10,random_03,gpt-5-mini,True,True,True,True,178,178.0,,10.0,,,False,False,False,10.0,0.0,False,1.0,10.0,178,44,134,134,268,0.7528,178,178,4419,0,0,4419,0.2774,True,168.37,8590,20292,28882
folding,p10,random_03,grok-4-1-fast,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,10.0,178,0,0,178,178,1.0,0,178,0,0,178,178,0.0112,True,295.47,8688,34611,43299
folding,p10,random_03,mimo-v2-flash,True,True,False,False,0,0.0,,,,,False,False,False,,,False,,10.0,178,0,0,178,178,1.0,0,178,0,0,178,178,0.0112,True,69.29,9705,12637,22342
folding,p10,random_03,qwen3-5-35b-a3b-alibaba,False,False,False,,128,,,,parse_error,1.0,True,False,False,,,False,,10.0,178,25,103,153,256,0.8366,128,178,2145,-50,0,2095,0.1315,True,160.96,10632,16000,26632
folding,p10,random_04,gpt-5-mini,True,True,False,False,28,28.0,,,,,False,False,False,,,False,,10.0,178,3,25,175,200,0.9709,28,178,0,-150,0,-150,-0.0094,True,102.21,8590,11670,20260
folding,p10,random_04,grok-4-1-fast,False,False,False,,2,,,,parse_error,1.0,True,False,False,,,False,,10.0,178,1,1,177,178,0.9889,2,178,0,-77,99,22,0.0014,True,252.02,8688,31064,39752
