domain,variant,model,conditional_reachability,executability,first_failure_step,non_executable_failure_parse_share,optimality_ratio,plan_length_metric,reachability,problems_covered,domain_variant
folding,canonical,gpt-5-mini,0.6666666666666666,0.75,31.0,0.0,1.0,93.5,0.5,4,folding / canonical
folding,canonical,grok-4-1-fast,,0.0,,1.0,,,0.0,4,folding / canonical
folding,canonical,mimo-v2-flash,0.0,0.5,2.0,0.0,,4.25,0.0,4,folding / canonical
folding,canonical,qwen3-5-35b-a3b-alibaba,0.0,0.25,11.0,0.3333333333333333,,35.333333333333336,0.0,4,folding / canonical
folding,optimal,gpt-5-mini,0.6666666666666666,0.75,72.0,0.0,1.0,138.25,0.5,4,folding / optimal
folding,optimal,grok-4-1-fast,1.0,0.25,,1.0,1.0,70.0,0.25,4,folding / optimal
folding,optimal,mimo-v2-flash,0.0,1.0,,,,0.0,0.0,4,folding / optimal
folding,optimal,qwen3-5-35b-a3b-alibaba,0.0,0.5,8.0,0.5,,25.666666666666668,0.0,4,folding / optimal
folding,frequency,gpt-5-mini,0.6666666666666666,0.75,86.0,0.0,1.0,131.25,0.5,4,folding / frequency
folding,frequency,grok-4-1-fast,1.0,0.25,,1.0,1.0,124.0,0.25,4,folding / frequency
folding,frequency,mimo-v2-flash,0.0,0.5,6.0,0.0,,7.5,0.0,4,folding / frequency
folding,frequency,qwen3-5-35b-a3b-alibaba,0.0,0.5,11.0,0.0,,52.0,0.0,4,folding / frequency
folding,dispersion,gpt-5-mini,1.0,0.25,60.666666666666664,0.0,1.0,169.75,0.25,4,folding / dispersion
folding,dispersion,grok-4-1-fast,1.0,0.25,,1.0,1.0,70.0,0.25,4,folding / dispersion
folding,dispersion,mimo-v2-flash,0.0,0.5,5.5,0.0,,5.75,0.0,4,folding / dispersion
folding,dispersion,qwen3-5-35b-a3b-alibaba,0.0,0.75,,1.0,,0.0,0.0,4,folding / dispersion
folding,random_01,gpt-5-mini,1.0,0.25,2.0,0.0,1.0,25.25,0.25,4,folding / random_01
folding,random_01,grok-4-1-fast,0.5,0.5,,1.0,1.0,35.0,0.25,4,folding / random_01
folding,random_01,mimo-v2-flash,0.0,0.25,4.333333333333333,0.0,,8.25,0.0,4,folding / random_01
folding,random_01,qwen3-5-35b-a3b-alibaba,0.0,0.75,14.0,0.0,,110.5,0.0,4,folding / random_01
folding,random_02,gpt-5-mini,0.6666666666666666,0.75,2.0,0.0,1.0,59.0,0.5,4,folding / random_02
folding,random_02,grok-4-1-fast,,0.0,,1.0,,,0.0,4,folding / random_02
folding,random_02,mimo-v2-flash,0.0,0.5,5.0,0.0,,6.0,0.0,4,folding / random_02
folding,random_02,qwen3-5-35b-a3b-alibaba,0.0,0.25,2.0,0.6666666666666666,,65.5,0.0,4,folding / random_02
folding,random_03,gpt-5-mini,0.6666666666666666,0.75,104.0,0.0,1.0,135.0,0.5,4,folding / random_03
folding,random_03,grok-4-1-fast,0.0,0.25,,1.0,,0.0,0.0,4,folding / random_03
folding,random_03,mimo-v2-flash,0.0,0.5,2.0,0.5,,4.666666666666667,0.0,4,folding / random_03
folding,random_03,qwen3-5-35b-a3b-alibaba,0.0,0.25,2.0,0.6666666666666666,,38.5,0.0,4,folding / random_03
folding,random_04,gpt-5-mini,0.0,0.25,57.333333333333336,0.0,,131.5,0.0,4,folding / random_04
folding,random_04,grok-4-1-fast,0.5,0.5,,1.0,1.0,35.0,0.25,4,folding / random_04
folding,random_04,mimo-v2-flash,0.0,0.5,2.0,0.0,,6.0,0.0,4,folding / random_04
folding,random_04,qwen3-5-35b-a3b-alibaba,0.0,0.25,14.0,0.6666666666666666,,65.5,0.0,4,folding / random_04
folding,random_05,gpt-5-mini,1.0,0.25,15.333333333333334,0.0,1.0,98.25,0.25,4,folding / random_05
folding,random_05,grok-4-1-fast,0.5,0.5,,1.0,1.0,35.0,0.25,4,folding / random_05
folding,random_05,mimo-v2-flash,0.0,0.75,2.0,0.0,,1.75,0.0,4,folding / random_05
folding,random_05,qwen3-5-35b-a3b-alibaba,0.0,0.25,18.0,0.6666666666666666,,153.0,0.0,4,folding / random_05
