metric,metric_title,variant,model,mean,ci95_low,ci95_high,n,ci_method,coverage_ratio
plan_length,Plan Length,canonical,deepseek/deepseek-v4-flash,33.333333333333336,23.764231979795184,42.90243468687149,15,t_mean_95,1.0
plan_length,Plan Length,canonical,gpt-oss-120b,3.066666666666667,-1.521765107137662,7.655098440470995,15,t_mean_95,1.0
plan_length,Plan Length,canonical,nemotron-3-super,0.0,0.0,0.0,5,t_mean_95,1.0
plan_length,Plan Length,disp_1,deepseek/deepseek-v4-flash,39.2,32.97545082527486,45.42454917472514,15,t_mean_95,1.0
plan_length,Plan Length,disp_1,gpt-oss-120b,1.6666666666666667,-0.0805435586435479,3.4138768919768814,15,t_mean_95,1.0
plan_length,Plan Length,disp_1,nemotron-3-super,24.2,-4.183157665066087,52.58315766506608,5,t_mean_95,1.0
plan_length,Plan Length,disp_2,deepseek/deepseek-v4-flash,40.2,33.72697898968342,46.67302101031659,15,t_mean_95,1.0
plan_length,Plan Length,disp_2,gpt-oss-120b,1.6,-0.3162609798399443,3.5162609798399442,15,t_mean_95,1.0
plan_length,Plan Length,disp_2,nemotron-3-super,35.4,26.37906775549223,44.42093224450777,5,t_mean_95,1.0
plan_length,Plan Length,disp_3,deepseek/deepseek-v4-flash,29.666666666666668,19.359040294481296,39.97429303885204,15,t_mean_95,1.0
plan_length,Plan Length,disp_3,gpt-oss-120b,0.8,0.5706898544391399,1.0293101455608602,15,t_mean_95,1.0
plan_length,Plan Length,disp_3,nemotron-3-super,31.4,7.221693372777327,55.57830662722267,5,t_mean_95,1.0
plan_length,Plan Length,plan_front,deepseek/deepseek-v4-flash,32.4,23.08349630264351,41.71650369735649,15,t_mean_95,1.0
plan_length,Plan Length,plan_front,gpt-oss-120b,5.4,0.9064572042604455,9.893542795739556,15,t_mean_95,1.0
plan_length,Plan Length,plan_front,nemotron-3-super,36.8,27.78761435356875,45.812385646431245,5,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,deepseek/deepseek-v4-flash,38.93333333333333,32.84664741827484,45.02001924839182,15,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,gpt-oss-120b,2.4,-0.6102870769603164,5.410287076960316,15,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,nemotron-3-super,25.4,-0.036401808431943294,50.836401808431944,5,t_mean_95,1.0
executability,Executability,canonical,deepseek/deepseek-v4-flash,0.8666666666666667,0.6211801716767764,0.9626387408969346,15,wilson_score_95,1.0
executability,Executability,canonical,gpt-oss-120b,0.9333333333333333,0.7018347012621998,0.9881331045067315,15,wilson_score_95,1.0
executability,Executability,canonical,nemotron-3-super,1.0,0.5655175352168251,1.0,5,wilson_score_95,1.0
executability,Executability,disp_1,deepseek/deepseek-v4-flash,0.8666666666666667,0.6211801716767764,0.9626387408969346,15,wilson_score_95,1.0
executability,Executability,disp_1,gpt-oss-120b,0.6,0.357468301206246,0.8017550385865841,15,wilson_score_95,1.0
executability,Executability,disp_1,nemotron-3-super,0.6,0.2307242812760128,0.882379225767352,5,wilson_score_95,1.0
executability,Executability,disp_2,deepseek/deepseek-v4-flash,0.8,0.5481455128483065,0.9295245065301844,15,wilson_score_95,1.0
executability,Executability,disp_2,gpt-oss-120b,0.8,0.5481455128483065,0.9295245065301844,15,wilson_score_95,1.0
executability,Executability,disp_2,nemotron-3-super,0.4,0.11762077423264783,0.769275718723987,5,wilson_score_95,1.0
executability,Executability,disp_3,deepseek/deepseek-v4-flash,0.8,0.5481455128483065,0.9295245065301844,15,wilson_score_95,1.0
executability,Executability,disp_3,gpt-oss-120b,0.5333333333333333,0.30116980025498397,0.7519046463426261,15,wilson_score_95,1.0
executability,Executability,disp_3,nemotron-3-super,0.0,0.0,0.43448246478317476,5,wilson_score_95,1.0
executability,Executability,plan_front,deepseek/deepseek-v4-flash,0.8,0.5481455128483065,0.9295245065301844,15,wilson_score_95,1.0
executability,Executability,plan_front,gpt-oss-120b,0.6,0.357468301206246,0.8017550385865841,15,wilson_score_95,1.0
executability,Executability,plan_front,nemotron-3-super,0.2,0.03622410863243014,0.6244653702374747,5,wilson_score_95,1.0
executability,Executability,plan_scatter,deepseek/deepseek-v4-flash,0.6666666666666666,0.41713547738519774,0.8482367556028526,15,wilson_score_95,1.0
executability,Executability,plan_scatter,gpt-oss-120b,0.8666666666666667,0.6211801716767764,0.9626387408969346,15,wilson_score_95,1.0
executability,Executability,plan_scatter,nemotron-3-super,0.6,0.2307242812760128,0.882379225767352,5,wilson_score_95,1.0
reachability,Reachability,canonical,deepseek/deepseek-v4-flash,0.6666666666666666,0.41713547738519774,0.8482367556028526,15,wilson_score_95,1.0
reachability,Reachability,canonical,gpt-oss-120b,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,canonical,nemotron-3-super,0.0,0.0,0.43448246478317476,5,wilson_score_95,1.0
reachability,Reachability,disp_1,deepseek/deepseek-v4-flash,0.8,0.5481455128483065,0.9295245065301844,15,wilson_score_95,1.0
reachability,Reachability,disp_1,gpt-oss-120b,0.0,0.0,0.20388330103584862,15,wilson_score_95,1.0
reachability,Reachability,disp_1,nemotron-3-super,0.2,0.03622410863243014,0.6244653702374747,5,wilson_score_95,1.0
