metric,metric_title,variant,model,mean,ci95_low,ci95_high,n,ci_method,coverage_ratio
plan_length,Plan Length,canonical,cohere/north-mini-code:free,19.60535117056856,16.382413807290796,22.828288533846326,299,t_mean_95,1.0
plan_length,Plan Length,canonical,deepseek/deepseek-v4-flash,26.65,24.56329494979401,28.736705050205988,300,t_mean_95,1.0
plan_length,Plan Length,canonical,gpt-oss-120b,9.19,7.848825233036092,10.531174766963908,300,t_mean_95,1.0
plan_length,Plan Length,canonical,nemotron-3-super,6.902298850574713,4.761090967554269,9.043506733595157,174,t_mean_95,1.0
plan_length,Plan Length,disp_1,cohere/north-mini-code:free,14.806666666666667,11.921559567265849,17.691773766067485,300,t_mean_95,1.0
plan_length,Plan Length,disp_1,deepseek/deepseek-v4-flash,26.606666666666666,24.61519673416207,28.598136599171262,300,t_mean_95,1.0
plan_length,Plan Length,disp_1,gpt-oss-120b,6.62,5.6924538006499885,7.547546199350012,300,t_mean_95,1.0
plan_length,Plan Length,disp_1,nemotron-3-super,8.689655172413794,6.635634371360888,10.743675973466699,174,t_mean_95,1.0
plan_length,Plan Length,disp_2,cohere/north-mini-code:free,14.263333333333334,11.731611963190353,16.795054703476314,300,t_mean_95,1.0
plan_length,Plan Length,disp_2,deepseek/deepseek-v4-flash,36.763333333333335,14.219807873270476,59.306858793396195,300,t_mean_95,1.0
plan_length,Plan Length,disp_2,gpt-oss-120b,5.27,4.50650369286126,6.033496307138739,300,t_mean_95,1.0
plan_length,Plan Length,disp_2,nemotron-3-super,9.127167630057803,6.969179231877511,11.285156028238095,173,t_mean_95,1.0
plan_length,Plan Length,disp_3,cohere/north-mini-code:free,13.51,10.968681854437019,16.05131814556298,300,t_mean_95,1.0
plan_length,Plan Length,disp_3,deepseek/deepseek-v4-flash,24.573333333333334,22.452255475255107,26.69441119141156,300,t_mean_95,1.0
plan_length,Plan Length,disp_3,gpt-oss-120b,6.593333333333334,5.67139775724836,7.515268909418308,300,t_mean_95,1.0
plan_length,Plan Length,disp_3,nemotron-3-super,7.784883720930233,6.041764736123985,9.52800270573648,172,t_mean_95,1.0
plan_length,Plan Length,plan_front,cohere/north-mini-code:free,18.35,15.291739440475315,21.408260559524688,300,t_mean_95,1.0
plan_length,Plan Length,plan_front,deepseek/deepseek-v4-flash,23.78,21.823877074306516,25.736122925693486,300,t_mean_95,1.0
plan_length,Plan Length,plan_front,gpt-oss-120b,9.676666666666666,8.42924212423541,10.924091209097922,300,t_mean_95,1.0
plan_length,Plan Length,plan_front,nemotron-3-super,8.906976744186046,6.897082052477369,10.916871435894723,172,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,cohere/north-mini-code:free,16.203333333333333,13.24721102288645,19.159455643780216,300,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,deepseek/deepseek-v4-flash,25.076666666666668,22.97298575510033,27.180347578233008,300,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,gpt-oss-120b,6.32,5.146200229936695,7.493799770063306,300,t_mean_95,1.0
plan_length,Plan Length,plan_scatter,nemotron-3-super,7.958823529411765,6.037730486512954,9.879916572310576,170,t_mean_95,1.0
executability,Executability,canonical,cohere/north-mini-code:free,0.5919732441471572,0.5354419813613639,0.6461711974093945,299,wilson_score_95,1.0
executability,Executability,canonical,deepseek/deepseek-v4-flash,0.6433333333333333,0.5876297656515226,0.6954125825974409,300,wilson_score_95,1.0
executability,Executability,canonical,gpt-oss-120b,0.4166666666666667,0.3622760916643604,0.4731644035397305,300,wilson_score_95,1.0
executability,Executability,canonical,nemotron-3-super,0.632183908045977,0.5584001643279263,0.7002571830928391,174,wilson_score_95,1.0
executability,Executability,disp_1,cohere/north-mini-code:free,0.6866666666666666,0.6320976883026915,0.7365156024401446,300,wilson_score_95,1.0
executability,Executability,disp_1,deepseek/deepseek-v4-flash,0.6666666666666666,0.6115124568840807,0.7176065527077372,300,wilson_score_95,1.0
executability,Executability,disp_1,gpt-oss-120b,0.37333333333333335,0.32052468559554903,0.42934486711466924,300,wilson_score_95,1.0
executability,Executability,disp_1,nemotron-3-super,0.6206896551724138,0.5467224817360892,0.6894429224306966,174,wilson_score_95,1.0
executability,Executability,disp_2,cohere/north-mini-code:free,0.6633333333333333,0.6080919973085686,0.7144446320914131,300,wilson_score_95,1.0
executability,Executability,disp_2,deepseek/deepseek-v4-flash,0.7033333333333334,0.6493365822398648,0.7521886094621532,300,wilson_score_95,1.0
executability,Executability,disp_2,gpt-oss-120b,0.3566666666666667,0.30458741740255907,0.41237023434847747,300,wilson_score_95,1.0
executability,Executability,disp_2,nemotron-3-super,0.6184971098265896,0.544283249954246,0.6875628356493078,173,wilson_score_95,1.0
executability,Executability,disp_3,cohere/north-mini-code:free,0.7033333333333334,0.6493365822398648,0.7521886094621532,300,wilson_score_95,1.0
executability,Executability,disp_3,deepseek/deepseek-v4-flash,0.5466666666666666,0.49009847513929183,0.6020548475464171,300,wilson_score_95,1.0
executability,Executability,disp_3,gpt-oss-120b,0.31666666666666665,0.26662835068573615,0.37134073876326396,300,wilson_score_95,1.0
executability,Executability,disp_3,nemotron-3-super,0.5813953488372093,0.5066790895631753,0.6525552581713466,172,wilson_score_95,1.0
executability,Executability,plan_front,cohere/north-mini-code:free,0.6433333333333333,0.5876297656515226,0.6954125825974409,300,wilson_score_95,1.0
executability,Executability,plan_front,deepseek/deepseek-v4-flash,0.6166666666666667,0.5605031391673366,0.669880167546936,300,wilson_score_95,1.0
executability,Executability,plan_front,gpt-oss-120b,0.45,0.394689901646408,0.5065743954760465,300,wilson_score_95,1.0
executability,Executability,plan_front,nemotron-3-super,0.6976744186046512,0.6253372898910063,0.761374697464261,172,wilson_score_95,1.0
executability,Executability,plan_scatter,cohere/north-mini-code:free,0.66,0.604674453304638,0.7112797959035073,300,wilson_score_95,1.0
executability,Executability,plan_scatter,deepseek/deepseek-v4-flash,0.64,0.584229303230313,0.6922306648268142,300,wilson_score_95,1.0
executability,Executability,plan_scatter,gpt-oss-120b,0.44666666666666666,0.39143715496049114,0.503244761970127,300,wilson_score_95,1.0
executability,Executability,plan_scatter,nemotron-3-super,0.5823529411764706,0.507199545531402,0.6538667512538783,170,wilson_score_95,1.0
reachability,Reachability,canonical,cohere/north-mini-code:free,0.12040133779264214,0.08824944745670606,0.16218343288943643,299,wilson_score_95,1.0
reachability,Reachability,canonical,deepseek/deepseek-v4-flash,0.5366666666666666,0.4801320652390865,0.5922741168711132,300,wilson_score_95,1.0
reachability,Reachability,canonical,gpt-oss-120b,0.13,0.09657536941275233,0.17278042929341172,300,wilson_score_95,1.0
reachability,Reachability,canonical,nemotron-3-super,0.1896551724137931,0.1383533381954532,0.25436419394709797,174,wilson_score_95,1.0
reachability,Reachability,disp_1,cohere/north-mini-code:free,0.12666666666666668,0.09369224846506602,0.16908117004926165,300,wilson_score_95,1.0
reachability,Reachability,disp_1,deepseek/deepseek-v4-flash,0.5733333333333334,0.5167859400590311,0.6280264241613689,300,wilson_score_95,1.0
reachability,Reachability,disp_1,gpt-oss-120b,0.08333333333333333,0.057080874056394275,0.12012160196406074,300,wilson_score_95,1.0
reachability,Reachability,disp_1,nemotron-3-super,0.21264367816091953,0.15839399171734175,0.2793074269331685,174,wilson_score_95,1.0
reachability,Reachability,disp_2,cohere/north-mini-code:free,0.11666666666666667,0.08509313461466292,0.15793314332415567,300,wilson_score_95,1.0
