metric,metric_title,variant,model,mean,ci95_low,ci95_high,n,ci_method,coverage_ratio
plan_length,Plan Length,canonical,deepseek/deepseek-v4-flash,50.68292682926829,47.749296905125455,53.616556753411125,41,t_mean_95,0.13174603174603175
plan_length,Plan Length,canonical,gpt-oss-120b,52.5,-106.32499999999999,211.325,2,t_mean_95,0.13174603174603175
plan_length,Plan Length,disp_1,deepseek/deepseek-v4-flash,51.55263157894737,48.99518692231349,54.110076235581246,38,t_mean_95,0.13174603174603175
plan_length,Plan Length,disp_1,gpt-oss-120b,40.0,40.0,40.0,1,single_observation,0.13174603174603175
plan_length,Plan Length,disp_2,deepseek/deepseek-v4-flash,51.457142857142856,48.1208099269945,54.793475787291214,35,t_mean_95,0.13174603174603175
plan_length,Plan Length,disp_2,gpt-oss-120b,38.5,32.147,44.853,2,t_mean_95,0.13174603174603175
plan_length,Plan Length,disp_3,deepseek/deepseek-v4-flash,51.88,47.712082598899066,56.04791740110094,25,t_mean_95,0.13174603174603175
plan_length,Plan Length,disp_3,gpt-oss-120b,40.0,40.0,40.0,1,single_observation,0.13174603174603175
plan_length,Plan Length,plan_back,deepseek/deepseek-v4-flash,51.32142857142857,47.52618445570173,55.11667268715541,28,t_mean_95,0.13174603174603175
plan_length,Plan Length,plan_front,deepseek/deepseek-v4-flash,48.78947368421053,46.15946759737913,51.41947977104193,38,t_mean_95,0.13174603174603175
plan_length,Plan Length,plan_front,gpt-oss-120b,40.0,40.0,40.0,1,single_observation,0.13174603174603175
plan_length,Plan Length,plan_scatter,deepseek/deepseek-v4-flash,53.054054054054056,50.17171385240105,55.936394255707064,37,t_mean_95,0.13174603174603175
executability,Executability,canonical,deepseek/deepseek-v4-flash,0.45555555555555555,0.3565961690755778,0.5581536643079179,90,wilson_score_95,1.0
executability,Executability,canonical,gpt-oss-120b,0.2,0.13042401182717056,0.29413736351142555,90,wilson_score_95,1.0
executability,Executability,canonical,nemotron-3-super,0.011111111111111112,0.0019640841009183445,0.06028408311753451,90,wilson_score_95,1.0
executability,Executability,disp_1,deepseek/deepseek-v4-flash,0.43333333333333335,0.33576572531248783,0.5363590247627558,90,wilson_score_95,1.0
executability,Executability,disp_1,gpt-oss-120b,0.17777777777777778,0.11249737158330352,0.26943892044704043,90,wilson_score_95,1.0
executability,Executability,disp_1,nemotron-3-super,0.022222222222222223,0.006115441986325208,0.07744526688625372,90,wilson_score_95,1.0
executability,Executability,disp_2,deepseek/deepseek-v4-flash,0.3888888888888889,0.2946991721093655,0.49217541134937376,90,wilson_score_95,1.0
executability,Executability,disp_2,gpt-oss-120b,0.24444444444444444,0.16732783066209148,0.3424837112930089,90,wilson_score_95,1.0
executability,Executability,disp_2,nemotron-3-super,0.011111111111111112,0.0019640841009183445,0.06028408311753451,90,wilson_score_95,1.0
executability,Executability,disp_3,deepseek/deepseek-v4-flash,0.2777777777777778,0.19579689194686647,0.3779522749706121,90,wilson_score_95,1.0
executability,Executability,disp_3,gpt-oss-120b,0.24444444444444444,0.16732783066209148,0.3424837112930089,90,wilson_score_95,1.0
executability,Executability,disp_3,nemotron-3-super,0.0,0.0,0.04093562556432678,90,wilson_score_95,1.0
executability,Executability,plan_back,deepseek/deepseek-v4-flash,0.32222222222222224,0.2346677118619395,0.4243316216720434,90,wilson_score_95,1.0
executability,Executability,plan_back,gpt-oss-120b,0.3111111111111111,0.22485854647009124,0.41282824540976554,90,wilson_score_95,1.0
executability,Executability,plan_back,nemotron-3-super,0.022222222222222223,0.006115441986325208,0.07744526688625372,90,wilson_score_95,1.0
executability,Executability,plan_front,deepseek/deepseek-v4-flash,0.4222222222222222,0.3254240646742608,0.5253881437468566,90,wilson_score_95,1.0
executability,Executability,plan_front,gpt-oss-120b,0.2111111111111111,0.13952592118014923,0.30634799581257294,90,wilson_score_95,1.0
executability,Executability,plan_front,nemotron-3-super,0.011111111111111112,0.0019640841009183445,0.06028408311753451,90,wilson_score_95,1.0
executability,Executability,plan_scatter,deepseek/deepseek-v4-flash,0.4222222222222222,0.3254240646742608,0.5253881437468566,90,wilson_score_95,1.0
executability,Executability,plan_scatter,gpt-oss-120b,0.34444444444444444,0.2544591402493863,0.44716527659284866,90,wilson_score_95,1.0
executability,Executability,plan_scatter,nemotron-3-super,0.022222222222222223,0.006115441986325208,0.07744526688625372,90,wilson_score_95,1.0
reachability,Reachability,canonical,deepseek/deepseek-v4-flash,0.45555555555555555,0.3565961690755778,0.5581536643079179,90,wilson_score_95,1.0
reachability,Reachability,canonical,gpt-oss-120b,0.022222222222222223,0.006115441986325208,0.07744526688625372,90,wilson_score_95,1.0
reachability,Reachability,canonical,nemotron-3-super,0.0,0.0,0.04093562556432678,90,wilson_score_95,1.0
reachability,Reachability,disp_1,deepseek/deepseek-v4-flash,0.4222222222222222,0.3254240646742608,0.5253881437468566,90,wilson_score_95,1.0
reachability,Reachability,disp_1,gpt-oss-120b,0.011111111111111112,0.0019640841009183445,0.06028408311753451,90,wilson_score_95,1.0
reachability,Reachability,disp_1,nemotron-3-super,0.0,0.0,0.04093562556432678,90,wilson_score_95,1.0
reachability,Reachability,disp_2,deepseek/deepseek-v4-flash,0.3888888888888889,0.2946991721093655,0.49217541134937376,90,wilson_score_95,1.0
reachability,Reachability,disp_2,gpt-oss-120b,0.022222222222222223,0.006115441986325208,0.07744526688625372,90,wilson_score_95,1.0
reachability,Reachability,disp_2,nemotron-3-super,0.0,0.0,0.04093562556432678,90,wilson_score_95,1.0
reachability,Reachability,disp_3,deepseek/deepseek-v4-flash,0.2777777777777778,0.19579689194686647,0.3779522749706121,90,wilson_score_95,1.0
reachability,Reachability,disp_3,gpt-oss-120b,0.011111111111111112,0.0019640841009183445,0.06028408311753451,90,wilson_score_95,1.0
reachability,Reachability,disp_3,nemotron-3-super,0.0,0.0,0.04093562556432678,90,wilson_score_95,1.0
reachability,Reachability,plan_back,deepseek/deepseek-v4-flash,0.3111111111111111,0.22485854647009124,0.41282824540976554,90,wilson_score_95,1.0
reachability,Reachability,plan_back,gpt-oss-120b,0.0,0.0,0.04093562556432678,90,wilson_score_95,1.0
reachability,Reachability,plan_back,nemotron-3-super,0.0,0.0,0.04093562556432678,90,wilson_score_95,1.0
reachability,Reachability,plan_front,deepseek/deepseek-v4-flash,0.4222222222222222,0.3254240646742608,0.5253881437468566,90,wilson_score_95,1.0
reachability,Reachability,plan_front,gpt-oss-120b,0.011111111111111112,0.0019640841009183445,0.06028408311753451,90,wilson_score_95,1.0
reachability,Reachability,plan_front,nemotron-3-super,0.0,0.0,0.04093562556432678,90,wilson_score_95,1.0
reachability,Reachability,plan_scatter,deepseek/deepseek-v4-flash,0.4111111111111111,0.31513204023844693,0.5143676265285444,90,wilson_score_95,1.0
reachability,Reachability,plan_scatter,gpt-oss-120b,0.0,0.0,0.04093562556432678,90,wilson_score_95,1.0
reachability,Reachability,plan_scatter,nemotron-3-super,0.0,0.0,0.04093562556432678,90,wilson_score_95,1.0
conditional_reachability,Conditional Reachability,canonical,deepseek/deepseek-v4-flash,1.0,0.9143324298155681,0.9999999999999999,41,wilson_score_95,0.21693121693121692
conditional_reachability,Conditional Reachability,canonical,gpt-oss-120b,0.1111111111111111,0.03101952264561239,0.32799765130178804,18,wilson_score_95,0.21693121693121692
conditional_reachability,Conditional Reachability,canonical,nemotron-3-super,0.0,0.0,0.7934506856227626,1,wilson_score_95,0.21693121693121692
conditional_reachability,Conditional Reachability,disp_1,deepseek/deepseek-v4-flash,0.9743589743589743,0.8681900983014993,0.99545929689901,39,wilson_score_95,0.21693121693121692
conditional_reachability,Conditional Reachability,disp_1,gpt-oss-120b,0.0625,0.01111934476464252,0.28328737570298945,16,wilson_score_95,0.21693121693121692
conditional_reachability,Conditional Reachability,disp_1,nemotron-3-super,0.0,0.0,0.6576197724933469,2,wilson_score_95,0.21693121693121692
conditional_reachability,Conditional Reachability,disp_2,deepseek/deepseek-v4-flash,1.0,0.9010990076755959,0.9999999999999999,35,wilson_score_95,0.21693121693121692
conditional_reachability,Conditional Reachability,disp_2,gpt-oss-120b,0.09090909090909091,0.025295428990995267,0.27814946841605814,22,wilson_score_95,0.21693121693121692
conditional_reachability,Conditional Reachability,disp_2,nemotron-3-super,0.0,0.0,0.7934506856227626,1,wilson_score_95,0.21693121693121692
conditional_reachability,Conditional Reachability,disp_3,deepseek/deepseek-v4-flash,1.0,0.8668077490609515,0.9999999999999999,25,wilson_score_95,0.21693121693121692
