metric,metric_title,variant,model,mean,ci95_low,ci95_high,n,ci_method,coverage_ratio
plan_length,Plan Length,canonical,deepseek/deepseek-v4-flash,28.76271186440678,27.298306093056983,30.227117635756574,59,t_mean_95,0.17777777777777778
plan_length,Plan Length,canonical,gpt-oss-120b,22.75,19.83048347162245,25.66951652837755,12,t_mean_95,0.17777777777777778
plan_length,Plan Length,disp_1,deepseek/deepseek-v4-flash,29.0,27.374208754977882,30.625791245022118,55,t_mean_95,0.17777777777777778
plan_length,Plan Length,disp_1,gpt-oss-120b,26.166666666666668,21.22496359485023,31.108369738483105,6,t_mean_95,0.17777777777777778
plan_length,Plan Length,disp_2,deepseek/deepseek-v4-flash,29.173076923076923,27.572474665258028,30.77367918089582,52,t_mean_95,0.17777777777777778
plan_length,Plan Length,disp_2,gpt-oss-120b,25.428571428571427,22.275961672812105,28.58118118433075,7,t_mean_95,0.17777777777777778
plan_length,Plan Length,disp_3,deepseek/deepseek-v4-flash,28.08,25.788061437472635,30.37193856252736,25,t_mean_95,0.17777777777777778
plan_length,Plan Length,disp_3,gpt-oss-120b,19.5,0.4410000000000025,38.559,2,t_mean_95,0.17777777777777778
plan_length,Plan Length,plan_back,deepseek/deepseek-v4-flash,28.85185185185185,27.289305173523285,30.414398530180417,54,t_mean_95,0.17777777777777778
plan_length,Plan Length,plan_back,gpt-oss-120b,23.125,20.961246557009424,25.288753442990576,8,t_mean_95,0.17777777777777778
plan_length,Plan Length,plan_back,nemotron-3-super,21.0,21.0,21.0,1,single_observation,0.17777777777777778
plan_length,Plan Length,plan_front,deepseek/deepseek-v4-flash,28.46938775510204,26.5788216283819,30.359953881822182,49,t_mean_95,0.17777777777777778
plan_length,Plan Length,plan_front,gpt-oss-120b,22.333333333333332,18.470831136282538,26.195835530384127,9,t_mean_95,0.17777777777777778
plan_length,Plan Length,plan_scatter,deepseek/deepseek-v4-flash,29.022222222222222,27.35159693741277,30.692847507031676,45,t_mean_95,0.17777777777777778
plan_length,Plan Length,plan_scatter,gpt-oss-120b,23.25,20.577669598124942,25.922330401875058,8,t_mean_95,0.17777777777777778
executability,Executability,canonical,deepseek/deepseek-v4-flash,0.580952380952381,0.4853569524888766,0.6708335302940296,105,wilson_score_95,1.0
executability,Executability,canonical,gpt-oss-120b,0.26666666666666666,0.1914167865270055,0.3583871160399124,105,wilson_score_95,1.0
executability,Executability,canonical,nemotron-3-super,0.009523809523809525,0.0016831692328561944,0.0519862586118897,105,wilson_score_95,1.0
executability,Executability,disp_1,deepseek/deepseek-v4-flash,0.5523809523809524,0.4570972192276588,0.6439672108083394,105,wilson_score_95,1.0
executability,Executability,disp_1,gpt-oss-120b,0.3047619047619048,0.22490206198147927,0.39840324424798274,105,wilson_score_95,1.0
